file,lib,gate,bio_rep,facs_rep,tech_rep,seq,note
26-10-E1-3br_S39,even1,3,2,2,2,3,
26-10-E1-3r_S35,even1,3,2,1,2,3,
26-10-E1-4_S12,even1,4,2,1,1,3,
26-10-E1-4b_S16,even1,4,2,2,1,3,
26-10-E1-4br_S40,even1,4,2,2,2,3,
26-10-E1-4r_S36,even1,4,2,1,2,3,
26-10-O3-1_S1,odd3,1,3,1,1,3,
26-10-O3-1b_S5,odd3,1,3,2,1,3,
26-10-O3-1br_S29,odd3,1,3,2,2,3,
26-10-O3-1r_S25,odd3,1,3,1,2,3,
26-10-O3-2_S2,odd3,2,3,1,1,3,
26-10-O3-2b_S6,odd3,2,3,2,1,3,
26-10-O3-2br_S30,odd3,2,3,2,2,3,
26-10-O3-2r_S26,odd3,2,3,1,2,3,
26-10-O3-3_S3,odd3,3,3,1,1,3,
26-10-O3-3b_S7,odd3,3,3,2,1,3,
26-10-O3-3br_S31,odd3,3,3,2,2,3,
26-10-O3-3r_S27,odd3,3,3,1,2,3,
26-10-O3-4_S4,odd3,4,3,1,1,3,
26-10-O3-4b_S8,odd3,4,3,2,1,3,
26-10-O3-4br_S32,odd3,4,3,2,2,3,
26-10-O3-4r_S28,odd3,4,3,1,2,3,
27-10-E1-1_S17,even1,1,3,1,1,3,
27-10-E1-1b_S21,even1,1,3,2,1,3,
27-10-E1-1br_S45,even1,1,3,2,2,3,
27-10-E1-1r_S41,even1,1,3,1,2,3,
27-10-E1-2_S18,even1,2,3,1,1,3,
27-10-E1-2b_S22,even1,2,3,2,1,3,
27-10-E1-2br_S46,even1,2,3,2,2,3,
27-10-E1-2r_S42,even1,2,3,1,2,3,
27-10-E1-3_S19,even1,3,3,1,1,3,
27-10-E1-3b_S23,even1,3,3,2,1,3,
27-10-E1-3br_S47,even1,3,3,2,2,3,
27-10-E1-3r_S43,even1,3,3,1,2,3,
27-10-E1-4_S20,even1,4,3,1,1,3,
27-10-E1-4b_S24,even1,4,3,2,1,3,
27-10-E1-4br_S48,even1,4,3,2,2,3,
27-10-E1-4r_S44,even1,4,3,1,2,3,
27-10-O4-1_S1,odd4,1,1,1,1,4,
27-10-O4-1b_S5,odd4,1,1,2,1,4,
27-10-O4-1br_S29,odd4,1,1,2,2,4,
27-10-O4-1r_S25,odd4,1,1,1,2,4,
27-10-O4-2_S2,odd4,2,1,1,1,4,
27-10-O4-2b_S6,odd4,2,1,2,1,4,
27-10-O4-2br_S30,odd4,2,1,2,2,4,
27-10-O4-2r_S26,odd4,2,1,1,2,4,
27-10-O4-3_S3,odd4,3,1,1,1,4,
27-10-O4-3b_S7,odd4,3,1,2,1,4,
27-10-O4-3br_S31,odd4,3,1,2,2,4,
27-10-O4-3r_S27,odd4,3,1,1,2,4,
27-10-O4-4_S4,odd4,4,1,1,1,4,
27-10-O4-4b_S8,odd4,4,1,2,1,4,
27-10-O4-4br_S32,odd4,4,1,2,2,4,
27-10-O4-4r_S28,odd4,4,1,1,2,4,
30-5-E1-1_S17,even1,1,1,1,1,1,
30-5-E1-1b_S21,even1,1,1,2,1,1,
30-5-E1-1br_S45,even1,1,1,2,2,1,
30-5-E1-1r_S41,even1,1,1,1,2,1,
30-5-E1-2_S18,even1,2,1,1,1,1,
30-5-E1-2b_S22,even1,2,1,2,1,1,
30-5-E1-2br_S46,even1,2,1,2,2,1,
30-5-E1-2r_S42,even1,2,1,1,2,1,
30-5-E1-3_S19,even1,3,1,1,1,1,
30-5-E1-3b_S23,even1,3,1,2,1,1,
30-5-E1-3br_S47,even1,3,1,2,2,1,
30-5-E1-3r_S43,even1,3,1,1,2,1,
30-5-E1-4_S20,even1,4,1,1,1,1,
30-5-E1-4b_S24,even1,4,1,2,1,1,
30-5-E1-4br_S48,even1,4,1,2,2,1,
30-5-E1-4r_S44,even1,4,1,1,2,1,
7-12-E2-1_S9,even2,1,1,1,1,2,
7-12-E2-1b_S13,even2,1,1,2,1,2,
7-12-E2-1br_S37,even2,1,1,2,2,2,
